TermName	TermSynonym	GROUP
 Expiration date	Expiration date	TERM
Acclimation duration	Acclimation duration	TERM + TBC
feed restricted	Ad lib (Y/N)	TERM + TBC + MIATE
nutritional status	Ad lib (Y/N)	TERM + TBC + MIATE
Ad lib (Y/N)	Ad lib (Y/N)	TERM + TBC + MIATE
Additional treatment	Additional treatment	TBC
ADMINISTRATION	Administration interval	TERM + TBC + MIATE
condition	Administration interval	TERM + TBC + MIATE
daily dose	Administration interval	TERM + TBC + MIATE
exposure paradigm	Administration interval	TERM + TBC + MIATE
frequency of treatment	Administration interval	TERM + TBC + MIATE
number of doses	Administration interval	TERM + TBC + MIATE
regimen	Administration interval	TERM + TBC + MIATE
time of dose	Administration interval	TERM + TBC + MIATE
treatment/exposure info	Administration interval	TERM + TBC + MIATE
treatment frequency	Administration interval	TERM + TBC + MIATE
treatment period	Administration interval	TERM + TBC + MIATE
units of treatment repeat	Administration interval	TERM + TBC + MIATE
units of treatment time	Administration interval	TERM + TBC + MIATE
weekly dosing	Administration interval	TERM + TBC + MIATE
window of exposure	Administration interval	TERM + TBC + MIATE
Administration interval	Administration interval	TERM + TBC + MIATE
route	Administration route	TERM + TBC + MIATE
route of exposure	Administration route	TERM + TBC + MIATE
 route	Administration route	TERM + TBC + MIATE
vehicle_route_designation	Administration route	TERM + TBC + MIATE
administration route	Administration route	TERM + TBC + MIATE
exposure method	Administration route	TERM + TBC + MIATE
exposure route	Administration route	TERM + TBC + MIATE
age	Age	TERM + TBC + MIATE
 Age	Age	TERM + TBC + MIATE
age (at weaning)	Age	TERM + TBC + MIATE
age (days)	Age	TERM + TBC + MIATE
age exposure	Age	TERM + TBC + MIATE
age/genotype	Age	TERM + TBC + MIATE
age (mo)	Age	TERM + TBC + MIATE
age (month)	Age	TERM + TBC + MIATE
age (months)	Age	TERM + TBC + MIATE
age of treatment	Age	TERM + TBC + MIATE
age (postnatal day p)	Age	TERM + TBC + MIATE
age (pup)	Age	TERM + TBC + MIATE
age rapamycin exposure	Age	TERM + TBC + MIATE
ages	Age	TERM + TBC + MIATE
age_unit	Age	TERM + TBC + MIATE
age unit	Age	TERM + TBC + MIATE
age_unit_ontology	Age	TERM + TBC + MIATE
age (weeks)	Age	TERM + TBC + MIATE
age(weeks)	Age	TERM + TBC + MIATE
age x-ray exposure	Age	TERM + TBC + MIATE
animal age	Age	TERM + TBC + MIATE
embryo gestational age	Age	TERM + TBC + MIATE
embryonic age	Age	TERM + TBC + MIATE
embryonic stage	Age	TERM + TBC + MIATE
foetal age	Age	TERM + TBC + MIATE
mother mouse age	Age	TERM + TBC + MIATE
mouse age	Age	TERM + TBC + MIATE
postnatal age	Age	TERM + TBC + MIATE
develomental stage	Age	TERM + TBC + MIATE
developmental period	Age	TERM + TBC + MIATE
developmental stage	Age	TERM + TBC + MIATE
developmental state	Age	TERM + TBC + MIATE
Development stage	Age	TERM + TBC + MIATE
develpmetal stage	Age	TERM + TBC + MIATE
dev stage	Age	TERM + TBC + MIATE
Stage	Age	TERM + TBC + MIATE
age (at analysis)	Age	TERM + TBC + MIATE
age at collection	Age	TERM + TBC + MIATE
age at death (days)	Age	TERM + TBC + MIATE
age at sacrifice	Age	TERM + TBC + MIATE
age at sacrifice (days)	Age	TERM + TBC + MIATE
age at study start	Age	TERM + TBC + MIATE
age sacrificed	Age	TERM + TBC + MIATE
end_age	Age	TERM + TBC + MIATE
age at dosing	Age	TERM + TBC + MIATE
age_at_exposure	Age	TERM + TBC + MIATE
age at initial dose	Age	TERM + TBC + MIATE
age at irradiation	Age	TERM + TBC + MIATE
age at irradiation (days)	Age	TERM + TBC + MIATE
age at start	Age	TERM + TBC + MIATE
age at tx start	Age	TERM + TBC + MIATE
start_age	Age	TERM + TBC + MIATE
treated on	Age	TERM + TBC + MIATE
treatment age onset	Age	TERM + TBC + MIATE
treatment start timepoint	Age	TERM + TBC + MIATE
"Alteration (mutation, knock-in, RNAi, etc.)"	"Alteration (mutation, knock-in, RNAi, etc.)"	TBC
Anesthetic used	Euthanasia method	TERM + TBC + MIATE
pretreatment drug & dose	Any interventions that were carried out before or during the experiment 	TERM
activating condition	Any interventions that were carried out before or during the experiment 	TERM
animal model	Any interventions that were carried out before or during the experiment 	TERM
pretreatment	Any interventions that were carried out before or during the experiment 	TERM
tranduction	Any interventions that were carried out before or during the experiment 	TERM
transduction	Any interventions that were carried out before or during the experiment 	TERM
Any interventions that were carried out before or during the experiment 	Any interventions that were carried out before or during the experiment 	TERM
housing_humidity	Average vivarium humidity	TERM + MIATE
humidity_unit_ontology	Average vivarium humidity	TERM + MIATE
humidity_unit	Average vivarium humidity	TERM + MIATE
Average vivarium humidity	Average vivarium humidity	TERM + MIATE
housing_temperature	Average vivarium temperature	TERM + MIATE
ambient temperature	Average vivarium temperature	TERM + MIATE
exposure (temperature)	Average vivarium temperature	TERM + MIATE
post-hypoxia-temperature	Average vivarium temperature	TERM + MIATE
pre-hypoxia-temperature	Average vivarium temperature	TERM + MIATE
temperature	Average vivarium temperature	TERM + MIATE
temperature (degree celsius)	Average vivarium temperature	TERM + MIATE
temperature(degree celsius)	Average vivarium temperature	TERM + MIATE
temperature_unit	Average vivarium temperature	TERM + MIATE
temperature_unit_ontology	Average vivarium temperature	TERM + MIATE
Average vivarium temperature	Average vivarium temperature	TERM + MIATE
bedding	Bedding type	TERM + MIATE
bedding type	Bedding type	TERM + MIATE
Breeding programme	Breeding programme	TERM
cage_type	Cage type	TERM + MIATE
cage type	Cage type	TERM + MIATE
cas number	CAS number	TERM + TBC + MIATE
compound cas no	CAS number	TERM + TBC + MIATE
treatment cas	CAS number	TERM + TBC + MIATE
catalog_number	Chemical catalog number	TERM + MIATE
Chemical catalog number	Chemical catalog number	TERM + MIATE
toxic_substance_purity	Chemical purity	TERM + MIATE
Chemical purity	Chemical purity	TERM + MIATE
vendor	Chemical source	TERM + MIATE
Chemical source	Chemical source	TERM + MIATE
Concentration of diluents	Concentration of diluents	TERM
Controls	Vehicle	TERM + TBC + MIATE
amount of vehicle	Delivery volume	TERM
Delivery volume	Delivery volume	TERM
Developmental stage	Developmental stage	TERM
absorbed dose	Dose	TERM + TBC + MIATE
accrued radiation dose	Dose	TERM + TBC + MIATE
agent dose	Dose	TERM + TBC + MIATE
amount administered	Dose	TERM + TBC + MIATE
amount in (µg)	Dose	TERM + TBC + MIATE
avelumab dose	Dose	TERM + TBC + MIATE
compound dose [mg/kg]	Dose	TERM + TBC + MIATE
compounds/dose (mg/kg)	Dose	TERM + TBC + MIATE
cpp conditioning drug and dose	Dose	TERM + TBC + MIATE
dibutyl phthalate dose level	Dose	TERM + TBC + MIATE
dinitrobenzene dosage	Dose	TERM + TBC + MIATE
dosage	Dose	TERM + TBC + MIATE
dose	Dose	TERM + TBC + MIATE
dose 1	Dose	TERM + TBC + MIATE
dose 2	Dose	TERM + TBC + MIATE
dose amount (mg_per_kg_per_day)	Dose	TERM + TBC + MIATE
dose flutamide	Dose	TERM + TBC + MIATE
dose (µg/kg)	Dose	TERM + TBC + MIATE
dose group	Dose	TERM + TBC + MIATE
dose level (mg/kg)	Dose	TERM + TBC + MIATE
dose (mg/kg)	Dose	TERM + TBC + MIATE
dose(mg/kg)	Dose	TERM + TBC + MIATE
dose (mg/kg) compound 2nd	Dose	TERM + TBC + MIATE
dose (mg/kg) compound given 1st	Dose	TERM + TBC + MIATE
dose (mg/kg/d)	Dose	TERM + TBC + MIATE
dose (mkd)	Dose	TERM + TBC + MIATE
dose_number	Dose	TERM + TBC + MIATE
dose (ppm)	Dose	TERM + TBC + MIATE
doses	Dose	TERM + TBC + MIATE
dose (ug)	Dose	TERM + TBC + MIATE
dose (ug/kg)	Dose	TERM + TBC + MIATE
dose unit	Dose	TERM + TBC + MIATE
dose_unit	Dose	TERM + TBC + MIATE
dose_unit_ontology	Dose	TERM + TBC + MIATE
dose units	Dose	TERM + TBC + MIATE
dose volume	Dose	TERM + TBC + MIATE
e2dose	Dose	TERM + TBC + MIATE
iv treatment	Dose	TERM + TBC + MIATE
lead exposure level	Dose	TERM + TBC + MIATE
levels of exposure	Dose	TERM + TBC + MIATE
loading dose level (ug/kg)	Dose	TERM + TBC + MIATE
lps dosing	Dose	TERM + TBC + MIATE
lung log10cfu	Dose	TERM + TBC + MIATE
lung radiation dose	Dose	TERM + TBC + MIATE
 MA dose	Dose	TERM + TBC + MIATE
maintenance dose level (ug/kg)	Dose	TERM + TBC + MIATE
nhs-muil12 dose	Dose	TERM + TBC + MIATE
nsaid dose	Dose	TERM + TBC + MIATE
phenobarbital dose (ppm)	Dose	TERM + TBC + MIATE
radiation dose	Dose	TERM + TBC + MIATE
ra exposure	Dose	TERM + TBC + MIATE
styrene dose (ppm)	Dose	TERM + TBC + MIATE
tcdd dose	Dose	TERM + TBC + MIATE
tcdd dose (f0)	Dose	TERM + TBC + MIATE
total body irradiation dose	Dose	TERM + TBC + MIATE
treated daily with	Dose	TERM + TBC + MIATE
treatment_(diet+treatment)	Dose	TERM + TBC + MIATE
treatment dosage	Dose	TERM + TBC + MIATE
treatment_dose	Dose	TERM + TBC + MIATE
treatment dose	Dose	TERM + TBC + MIATE
treatment dose and postexposure time	Dose	TERM + TBC + MIATE
treatment/dose	Dose	TERM + TBC + MIATE
treatment_dose [mg/kg/d]	Dose	TERM + TBC + MIATE
treatment dose [mg/kg/day]	Dose	TERM + TBC + MIATE
treatment_dose [% w/v]	Dose	TERM + TBC + MIATE
treatment group	Dose	TERM + TBC + MIATE
treatment/group	Dose	TERM + TBC + MIATE
treatment (mg/kg)	Dose	TERM + TBC + MIATE
uvr treatment	Dose	TERM + TBC + MIATE
venlafaxine dose [kg/d/kg]	Dose	TERM + TBC + MIATE
x-ray dose (gy)	Dose	TERM + TBC + MIATE
zileuton dose (mg/kg)	Dose	TERM + TBC + MIATE
